TEAM             , NAME                  , NATIONALITY, ROLE      , POSITION, AGE, SHOOTING, PASSING, DRIBBLING, PACE, DEFENDING, PHYSICAL, GOALKEEPING
MANCHESTER CITY  , JOHN STONES           , English    , Defender  , CB      ,  28,       34,      74,        60,   60,        86,       76,           5
MANCHESTER CITY  , KYLE WALKER           , English    , Defender  , RB      ,  32,       52,      68,        70,   92,        78,       80,           5
MANCHESTER CITY  , KEVIN DE BRUYNE       , Belgian    , Midfielder, CAM     ,  31,       88,      97,        88,   76,        64,       78,           5
MANCHESTER CITY  , RODRI                 , Spanish    , Midfielder, CDM     ,  26,       60,      84,        72,   58,        88,       82,           5
MANCHESTER CITY  , BERNARDO SILVA        , Portuguese , Midfielder, CM      ,  28,       76,      88,        88,   78,        64,       70,           5
MANCHESTER CITY  , ILKAY GUNDOGAN        , German     , Midfielder, CM      ,  32,       78,      86,        78,   62,        66,       70,           5
MANCHESTER CITY  , ERLING HAALAND        , Norwegian  , Attacker  , ST      ,  22,       96,      64,        76,   89,        36,       88,           5
MANCHESTER CITY  , JACK GREALISH         , English    , Attacker  , LW      ,  27,       72,      78,        86,   74,        42,       68,           5
MANCHESTER CITY  , PHIL FODEN            , English    , Attacker  , RW      ,  22,       82,      84,        88,   78,        44,       68,           5
AC MILAN         , DIDA                  , Brazilian  , Goalkeeper, GK      ,  30,       10,      48,        38,   38,        20,       60,          88
AC MILAN         , PAOLO MALDINI         , Italian    , Defender  , LB      ,  35,       38,      72,        68,   68,        92,       78,           5
AC MILAN         , ALESSANDRO NESTA      , Italian    , Defender  , CB      ,  28,       28,      62,        56,   60,        93,       80,           5
AC MILAN         , CAFU                  , Brazilian  , Defender  , RB      ,  33,       64,      72,        76,   84,        76,       76,           5
AC MILAN         , ANDREA PIRLO          , Italian    , Midfielder, CDM     ,  25,       72,      94,        72,   52,        70,       66,           5
AC MILAN         , CLARENCE SEEDORF      , Dutch      , Midfielder, CM      ,  28,       76,      82,        78,   70,        68,       76,           5
AC MILAN         , GENNARO GATTUSO       , Italian    , Midfielder, CDM     ,  26,       52,      68,        62,   72,        82,       88,           5
AC MILAN         , KAKA                  , Brazilian  , Midfielder, CAM     ,  22,       82,      82,        90,   84,        38,       70,           5
AC MILAN         , ANDRIY SHEVCHENKO     , Ukrainian  , Attacker  , ST      ,  27,       93,      72,        82,   88,        36,       76,           5
AC MILAN         , FILIPPO INZAGHI       , Italian    , Attacker  , ST      ,  30,       88,      58,        62,   70,        30,       68,           5
AC MILAN         , HERNAN CRESPO         , Argentine  , Attacker  , CF      ,  28,       87,      68,        72,   72,        30,       72,           5
JUVENTUS         , GIANLUIGI BUFFON      , Italian    , Goalkeeper, GK      ,  37,       10,      50,        40,   38,        22,       66,          93
JUVENTUS         , GIORGIO CHIELLINI     , Italian    , Defender  , CB      ,  30,       32,      58,        52,   58,        91,       86,           5
JUVENTUS         , LEONARDO BONUCCI      , Italian    , Defender  , CB      ,  28,       38,      78,        60,   60,        88,       78,           5
JUVENTUS         , ANDREA BARZAGLI       , Italian    , Defender  , CB      ,  33,       24,      58,        50,   56,        87,       78,           5
JUVENTUS         , PAUL POGBA            , French     , Midfielder, CM      ,  22,       78,      82,        86,   72,        72,       88,           5
JUVENTUS         , ARTURO VIDAL          , Chilean    , Midfielder, CM      ,  27,       78,      78,        76,   74,        76,       88,           5
JUVENTUS         , CLAUDIO MARCHISIO     , Italian    , Midfielder, CM      ,  29,       72,      80,        74,   70,        72,       76,           5
JUVENTUS         , ANDREA PIRLO          , Italian    , Midfielder, CDM     ,  35,       64,      92,        70,   44,        66,       62,           5
JUVENTUS         , CARLOS TEVEZ          , Argentine  , Attacker  , ST      ,  31,       84,      72,        84,   74,        40,       82,           5
JUVENTUS         , ALVARO MORATA         , Spanish    , Attacker  , ST      ,  22,       80,      68,        72,   74,        38,       72,           5
JUVENTUS         , PAULO DYBALA          , Argentine  , Attacker  , CF      ,  21,       82,      76,        88,   76,        36,       66,           5
INTER MILAN      , JULIO CESAR           , Brazilian  , Goalkeeper, GK      ,  30,       10,      50,        38,   40,        20,       60,          89
INTER MILAN      , LUCIO                 , Brazilian  , Defender  , CB      ,  32,       30,      62,        60,   68,        86,       80,           5
INTER MILAN      , WALTER SAMUEL         , Argentine  , Defender  , CB      ,  31,       24,      54,        48,   56,        87,       82,           5
INTER MILAN      , MAICON                , Brazilian  , Defender  , RB      ,  28,       68,      72,        80,   86,        80,       78,           5
INTER MILAN      , CRISTIAN CHIVU        , Romanian   , Defender  , LB      ,  29,       32,      60,        58,   60,        78,       72,           5
INTER MILAN      , WESLEY SNEIJDER       , Dutch      , Midfielder, CAM     ,  26,       84,      90,        82,   72,        62,       72,           5
INTER MILAN      , JAVIER ZANETTI        , Argentine  , Midfielder, CM      ,  36,       52,      74,        72,   80,        78,       78,           5
INTER MILAN      , ESTEBAN CAMBIASSO     , Argentine  , Midfielder, CDM     ,  29,       56,      76,        66,   62,        82,       78,           5
INTER MILAN      , DEJAN STANKOVIC       , Serbian    , Midfielder, CM      ,  31,       66,      74,        70,   66,        68,       76,           5
INTER MILAN      , DIEGO MILITO          , Argentine  , Attacker  , ST      ,  30,       88,      68,        72,   72,        34,       72,           5
INTER MILAN      , SAMUEL ETOO           , Cameroonian, Attacker  , CF      ,  29,       88,      70,        84,   90,        42,       80,           5
BAYERN MUNICH    , MANUEL NEUER          , German     , Goalkeeper, GK      ,  27,       12,      68,        52,   56,        28,       70,          95
BAYERN MUNICH    , PHILIPP LAHM          , German     , Defender  , RB      ,  29,       58,      84,        78,   78,        84,       72,           5
BAYERN MUNICH    , JEROME BOATENG        , German     , Defender  , CB      ,  24,       28,      62,        58,   68,        88,       80,           5
BAYERN MUNICH    , DANTE                 , Brazilian  , Defender  , CB      ,  29,       24,      58,        52,   60,        84,       78,           5
BAYERN MUNICH    , DAVID ALABA           , Austrian   , Defender  , LB      ,  20,       52,      76,        74,   76,        80,       72,           5
BAYERN MUNICH    , BASTIAN SCHWEINSTEIGER, German     , Midfielder, CM      ,  28,       72,      84,        78,   66,        74,       80,           5
BAYERN MUNICH    , JAVI MARTINEZ         , Spanish    , Midfielder, CDM     ,  24,       52,      74,        64,   58,        84,       82,           5
BAYERN MUNICH    , TONI KROOS            , German     , Midfielder, CM      ,  23,       74,      90,        76,   58,        66,       68,           5
BAYERN MUNICH    , FRANCK RIBERY         , French     , Attacker  , LW      ,  30,       82,      80,        92,   84,        40,       70,           5
BAYERN MUNICH    , ARJEN ROBBEN          , Dutch      , Attacker  , RW      ,  29,       88,      76,        90,   86,        36,       68,           5
BAYERN MUNICH    , THOMAS MULLER         , German     , Attacker  , CF      ,  23,       80,      80,        76,   72,        52,       72,           5
ARSENAL          , JENS LEHMANN          , German     , Goalkeeper, GK      ,  34,       10,      50,        38,   38,        20,       64,          88
ARSENAL          , SOL CAMPBELL          , English    , Defender  , CB      ,  29,       28,      58,        50,   60,        90,       86,           5
ARSENAL          , ASHLEY COLE           , English    , Defender  , LB      ,  23,       48,      68,        72,   84,        80,       74,           5
ARSENAL          , KOLO TOURE            , Ivorian    , Defender  , CB      ,  23,       26,      56,        54,   72,        83,       82,           5
ARSENAL          , LAUREN                , Cameroonian, Defender  , RB      ,  27,       44,      62,        58,   66,        76,       72,           5
ARSENAL          , PATRICK VIEIRA        , French     , Midfielder, CM      ,  27,       68,      80,        72,   72,        82,       88,           5
ARSENAL          , ROBERT PIRES          , French     , Midfielder, LM      ,  30,       78,      80,        84,   72,        48,       66,           5
ARSENAL          , FREDDIE LJUNGBERG     , Swedish    , Midfielder, RM      ,  27,       74,      72,        80,   78,        52,       72,           5
ARSENAL          , GILBERTO SILVA        , Brazilian  , Midfielder, CDM     ,  27,       50,      70,        60,   58,        80,       78,           5
ARSENAL          , THIERRY HENRY         , French     , Attacker  , ST      ,  26,       92,      82,        94,   96,        38,       76,           5
ARSENAL          , DENNIS BERGKAMP       , Dutch      , Attacker  , CF      ,  34,       86,      88,        86,   58,        38,       64,           5
ATLETICO MADRID  , JAN OBLAK             , Slovenian  , Goalkeeper, GK      ,  23,       10,      50,        38,   40,        22,       66,          91
ATLETICO MADRID  , DIEGO GODIN           , Uruguayan  , Defender  , CB      ,  30,       32,      64,        56,   58,        92,       86,           5
ATLETICO MADRID  , JOSE GIMENEZ          , Uruguayan  , Defender  , CB      ,  21,       28,      58,        54,   62,        83,       80,           5
ATLETICO MADRID  , JUANFRAN              , Spanish    , Defender  , RB      ,  31,       50,      64,        62,   72,        78,       72,           5
ATLETICO MADRID  , FILIPE LUIS           , Brazilian  , Defender  , LB      ,  30,       54,      72,        70,   76,        80,       72,           5
ATLETICO MADRID  , KOKE                  , Spanish    , Midfielder, CM      ,  24,       62,      86,        80,   72,        68,       70,           5
ATLETICO MADRID  , SAUL NIGUEZ           , Spanish    , Midfielder, CM      ,  21,       72,      76,        78,   76,        72,       80,           5
ATLETICO MADRID  , GABI                  , Spanish    , Midfielder, CDM     ,  32,       52,      74,        64,   62,        78,       76,           5
ATLETICO MADRID  , YANNICK CARRASCO      , Belgian    , Attacker  , LW      ,  22,       72,      68,        82,   82,        40,       70,           5
ATLETICO MADRID  , ANTOINE GRIEZMANN     , French     , Attacker  , ST      ,  25,       88,      82,        86,   82,        50,       72,           5
ATLETICO MADRID  , FERNANDO TORRES       , Spanish    , Attacker  , CF      ,  32,       80,      62,        70,   76,        32,       72,           5
PSG              , KEYLOR NAVAS          , Costa Rican, Goalkeeper, GK      ,  33,       10,      52,        42,   44,        22,       60,          88
PSG              , THIAGO SILVA          , Brazilian  , Defender  , CB      ,  35,       28,      68,        58,   56,        88,       78,           5
PSG              , MARQUINHOS            , Brazilian  , Defender  , CB      ,  26,       32,      72,        64,   62,        88,       78,           5
PSG              , JUAN BERNAT           , Spanish    , Defender  , LB      ,  27,       46,      68,        68,   74,        74,       68,           5
PSG              , THOMAS MEUNIER        , Belgian    , Defender  , RB      ,  28,       56,      68,        66,   76,        72,       74,           5
PSG              , MARCO VERRATTI        , Italian    , Midfielder, CM      ,  27,       62,      90,        84,   68,        70,       68,           5
PSG              , LEANDRO PAREDES       , Argentine  , Midfielder, CDM     ,  25,       56,      80,        68,   56,        74,       72,           5
PSG              , ANGEL DI MARIA        , Argentine  , Attacker  , RW      ,  32,       82,      84,        88,   84,        42,       68,           5
PSG              , ANDER HERRERA         , Spanish    , Midfielder, CM      ,  30,       62,      76,        70,   66,        72,       76,           5
PSG              , NEYMAR JR             , Brazilian  , Attacker  , LW      ,  28,       88,      86,        96,   82,        38,       66,           5
PSG              , KYLIAN MBAPPE         , French     , Attacker  , ST      ,  21,       90,      80,        92,   97,        38,       78,           5
DORTMUND         , ROMAN WEIDENFELLER    , German     , Goalkeeper, GK      ,  32,       10,      48,        38,   40,        20,       60,          86
DORTMUND         , MATS HUMMELS          , German     , Defender  , CB      ,  24,       30,      70,        58,   60,        89,       80,           5
DORTMUND         , NEVEN SUBOTIC         , Serbian    , Defender  , CB      ,  24,       24,      56,        52,   64,        84,       78,           5
DORTMUND         , LUKASZ PISZCZEK       , Polish     , Defender  , RB      ,  27,       56,      68,        68,   80,        76,       74,           5
DORTMUND         , MARCEL SCHMELZER      , German     , Defender  , LB      ,  25,       46,      64,        64,   76,        74,       70,           5
DORTMUND         , ILKAY GUNDOGAN        , German     , Midfielder, CDM     ,  22,       60,      82,        74,   62,        70,       70,           5
DORTMUND         , SVEN BENDER           , German     , Midfielder, CDM     ,  24,       48,      70,        62,   66,        78,       76,           5
DORTMUND         , MARCO REUS            , German     , Midfielder, CAM     ,  24,       84,      82,        88,   88,        46,       70,           5
DORTMUND         , JAKUB BLASZCZYKOWSKI  , Polish     , Midfielder, RM      ,  27,       74,      70,        76,   80,        44,       68,           5
DORTMUND         , ROBERT LEWANDOWSKI    , Polish     , Attacker  , ST      ,  24,       90,      68,        72,   76,        38,       80,           5
DORTMUND         , MARIO GOTZE           , German     , Attacker  , CF      ,  21,       78,      82,        88,   76,        46,       66,           5
LEVERKUSEN       , LUKAS HRADECKY        , Finnish    , Goalkeeper, GK      ,  34,       10,      52,        38,   38,        20,       62,          86
LEVERKUSEN       , JONATHAN TAH          , German     , Defender  , CB      ,  28,       28,      62,        54,   62,        86,       80,           5
LEVERKUSEN       , EDMOND TAPSOBA        , Burkinabe  , Defender  , CB      ,  24,       24,      58,        58,   72,        83,       80,           5
LEVERKUSEN       , JEREMIE FRIMPONG      , Dutch      , Defender  , RWB     ,  23,       64,      70,        78,   94,        66,       72,           5
LEVERKUSEN       , ALEJANDRO GRIMALDO    , Spanish    , Defender  , LWB     ,  28,       66,      76,        78,   84,        72,       70,           5
LEVERKUSEN       , GRANIT XHAKA          , Swiss      , Midfielder, CDM     ,  31,       68,      82,        70,   60,        78,       78,           5
LEVERKUSEN       , EXEQUIEL PALACIOS     , Argentine  , Midfielder, CM      ,  25,       60,      76,        72,   66,        72,       74,           5
LEVERKUSEN       , FLORIAN WIRTZ         , German     , Midfielder, CAM     ,  20,       82,      86,        90,   78,        50,       66,           5
LEVERKUSEN       , JONAS HOFMANN         , German     , Attacker  , RW      ,  31,       74,      72,        76,   76,        54,       70,           5
LEVERKUSEN       , VICTOR BONIFACE       , Nigerian   , Attacker  , ST      ,  23,       84,      64,        76,   84,        38,       80,           5
LEVERKUSEN       , PATRIK SCHICK         , Czech      , Attacker  , ST      ,  28,       84,      62,        68,   68,        34,       76,           5
LYON             , GREGORY COUPET        , French     , Goalkeeper, GK      ,  33,       10,      50,        38,   40,        20,       60,          87
LYON             , CRIS                  , Brazilian  , Defender  , CB      ,  29,       26,      58,        52,   58,        86,       82,           5
LYON             , ERIC ABIDAL           , French     , Defender  , LB      ,  26,       38,      64,        68,   78,        80,       72,           5
LYON             , ANTHONY REVEILLERE    , French     , Defender  , RB      ,  27,       46,      62,        60,   72,        76,       72,           5
LYON             , PATRICK MULLER        , Swiss      , Defender  , CB      ,  29,       22,      54,        48,   54,        82,       76,           5
LYON             , JUNINHO PERNAMBUCANO  , Brazilian  , Midfielder, CM      ,  31,       88,      84,        80,   62,        56,       70,           5
LYON             , MICHAEL ESSIEN        , Ghanaian   , Midfielder, CM      ,  23,       68,      72,        72,   80,        76,       88,           5
LYON             , TIAGO                 , Portuguese , Midfielder, CM      ,  24,       62,      78,        68,   66,        72,       76,           5
LYON             , FLORENT MALOUDA       , French     , Midfielder, LM      ,  26,       70,      72,        80,   82,        46,       70,           5
LYON             , KARIM BENZEMA         , French     , Attacker  , ST      ,  18,       80,      68,        78,   78,        36,       68,           5
LYON             , SYLVAIN WILTORD       , French     , Attacker  , LW      ,  31,       76,      68,        76,   80,        38,       68,           5
