TEAM         , NAME                      , NATIONALITY  , ROLE      , POSITION, AGE, SHOOTING, PASSING, DRIBBLING, PACE, DEFENDING, PHYSICAL, GOALKEEPING
PORTUGAL     , VITINHA                   , Portuguese   , Midfielder, CM      ,  26,       76,      90,        90,   76,        66,       70,           5
PORTUGAL     , BRUNO FERNANDES           , Portuguese   , Midfielder, CAM     ,  32,       86,      92,        86,   74,        62,       72,           5
PORTUGAL     , BERNARDO SILVA            , Portuguese   , Midfielder, RW      ,  32,       82,      90,        92,   78,        62,       68,           5
PORTUGAL     , RAFAEL LEAO               , Portuguese   , Attacker  , LW      ,  27,       88,      78,        90,   95,        36,       76,           5
PORTUGAL     , GONCALO RAMOS             , Portuguese   , Attacker  , ST      ,  25,       84,      72,        78,   80,        40,       80,           5
PORTUGAL     , CRISTIANO RONALDO         , Portuguese   , Attacker  , ST      ,  41,       88,      76,        82,   72,        34,       78,           5
ENGLAND      , JORDAN PICKFORD           , English      , Goalkeeper, GK      ,  32,       12,      66,        44,   42,        30,       70,          87
ENGLAND      , TRENT ALEXANDER-ARNOLD    , English      , Defender  , RB      ,  28,       76,      92,        84,   78,        74,       70,           7
ENGLAND      , JOHN STONES               , English      , Defender  , CB      ,  32,       44,      82,        78,   68,        86,       80,           7
ENGLAND      , MARC GUEHI                , English      , Defender  , CB      ,  26,       40,      74,        72,   74,        84,       82,           7
ENGLAND      , LUKE SHAW                 , English      , Defender  , LB      ,  31,       68,      82,        80,   76,        78,       76,           7
ENGLAND      , DECLAN RICE               , English      , Midfielder, CDM     ,  27,       76,      86,        82,   76,        86,       86,           5
ENGLAND      , JUDE BELLINGHAM           , English      , Midfielder, CM      ,  23,       88,      88,        90,   82,        78,       84,           5
ENGLAND      , PHIL FODEN                , English      , Midfielder, CAM     ,  26,       86,      88,        92,   84,        52,       66,           5
ENGLAND      , BUKAYO SAKA               , English      , Attacker  , RW      ,  25,       88,      84,        90,   90,        46,       72,           5
ENGLAND      , HARRY KANE                , English      , Attacker  , ST      ,  33,       92,      84,        84,   70,        48,       82,           5
ENGLAND      , COLE PALMER               , English      , Attacker  , LW      ,  24,       86,      88,        90,   82,        42,       64,           5
GERMANY      , MARC-ANDRE TER STEGEN     , German       , Goalkeeper, GK      ,  34,       10,      68,        44,   40,        28,       72,          89
GERMANY      , JOSHUA KIMMICH            , German       , Defender  , RB      ,  32,       74,      90,        84,   76,        82,       74,           7
GERMANY      , ANTONIO RUDIGER           , German       , Defender  , CB      ,  33,       42,      74,        66,   78,        90,       88,           7
GERMANY      , JONATHAN TAH              , German       , Defender  , CB      ,  30,       38,      72,        64,   68,        88,       86,           7
GERMANY      , DAVID RAUM                , German       , Defender  , LB      ,  29,       68,      80,        78,   84,        76,       74,           7
GERMANY      , TONI KROOS                , German       , Midfielder, CM      ,  36,       80,      94,        86,   52,        72,       70,           5
GERMANY      , JAMAL MUSIALA             , German       , Midfielder, CAM     ,  23,       88,      88,        94,   88,        52,       66,           5
GERMANY      , FLORIAN WIRTZ             , German       , Midfielder, CAM     ,  23,       86,      88,        92,   84,        50,       64,           5
GERMANY      , LEROY SANE                , German       , Attacker  , RW      ,  30,       86,      80,        88,   94,        38,       68,           5
GERMANY      , KAI HAVERTZ               , German       , Attacker  , ST      ,  27,       84,      82,        84,   76,        48,       74,           5
GERMANY      , DENIZ UNDAV               , German       , Attacker  , ST      ,  30,       82,      74,        80,   72,        40,       76,           5
ITALY        , GIANLUIGI DONNARUMMA      , Italian      , Goalkeeper, GK      ,  27,       10,      58,        40,   42,        28,       78,          91
ITALY        , GIOVANNI DI LORENZO       , Italian      , Defender  , RB      ,  33,       66,      78,        76,   78,        84,       76,           7
ITALY        , ALESSANDRO BASTONI        , Italian      , Defender  , CB      ,  27,       42,      82,        74,   72,        88,       82,           7
ITALY        , RICCARDO CALAFIORI        , Italian      , Defender  , CB      ,  24,       48,      78,        76,   74,        84,       80,           7
ITALY        , FEDERICO DIMARCO          , Italian      , Defender  , LB      ,  29,       76,      84,        82,   82,        72,       70,           7
ITALY        , NICOLO BARELLA            , Italian      , Midfielder, CM      ,  29,       80,      88,        86,   82,        76,       78,           5
ITALY        , SANDRO TONALI             , Italian      , Midfielder, CDM     ,  26,       74,      84,        80,   76,        82,       82,           5
ITALY        , LORENZO PELLEGRINI        , Italian      , Midfielder, CAM     ,  30,       80,      84,        84,   74,        64,       72,           5
ITALY        , FEDERICO CHIESA           , Italian      , Attacker  , LW      ,  28,       86,      76,        86,   92,        40,       72,           5
ITALY        , MATTEO RETEGUI            , Italian      , Attacker  , ST      ,  27,       84,      70,        76,   74,        42,       80,           5
ITALY        , GIACOMO RASPADORI         , Italian      , Attacker  , ST      ,  26,       82,      78,        84,   78,        40,       70,           5
NETHERLANDS  , BART VERBRUGGEN           , Dutch        , Goalkeeper, GK      ,  24,       10,      62,        42,   44,        26,       72,          87
NETHERLANDS  , DENZEL DUMFRIES           , Dutch        , Defender  , RB      ,  30,       74,      76,        78,   88,        80,       86,           7
NETHERLANDS  , VIRGIL VAN DIJK           , Dutch        , Defender  , CB      ,  35,       44,      78,        72,   70,        92,       90,           7
NETHERLANDS  , MATTHIJS DE LIGT          , Dutch        , Defender  , CB      ,  27,       40,      74,        68,   68,        88,       86,           7
NETHERLANDS  , NATHAN AKE                , Dutch        , Defender  , LB      ,  31,       58,      78,        76,   74,        86,       80,           7
NETHERLANDS  , FRANKIE DE JONG           , Dutch        , Midfielder, CM      ,  29,       76,      90,        90,   80,        72,       72,           5
NETHERLANDS  , TIJANI REIJNDERS          , Dutch        , Midfielder, CM      ,  27,       80,      84,        86,   80,        68,       72,           5
NETHERLANDS  , XAVI SIMONS               , Dutch        , Midfielder, CAM     ,  23,       84,      84,        90,   88,        52,       66,           5
NETHERLANDS  , JEREMY FRIMPONG           , Dutch        , Attacker  , RW      ,  25,       82,      78,        88,   98,        54,       68,           5
NETHERLANDS  , CODY GAKPO                , Dutch        , Attacker  , LW      ,  27,       86,      80,        86,   84,        42,       76,           5
NETHERLANDS  , MEMPHIS DEPAY             , Dutch        , Attacker  , ST      ,  32,       84,      82,        86,   82,        38,       78,           5
BELGIUM      , THIBAUT COURTOIS          , Belgian      , Goalkeeper, GK      ,  34,       10,      58,        40,   38,        30,       78,          92
BELGIUM      , TIMOTHY CASTAGNE          , Belgian      , Defender  , RB      ,  31,       66,      76,        76,   78,        80,       76,           7
BELGIUM      , WOUT FAES                 , Belgian      , Defender  , CB      ,  28,       38,      70,        66,   68,        84,       82,           7
BELGIUM      , ZENO DEBAST               , Belgian      , Defender  , CB      ,  22,       40,      74,        70,   72,        82,       78,           7
BELGIUM      , ARTHUR THEATE             , Belgian      , Defender  , LB      ,  26,       62,      74,        72,   76,        82,       80,           7
BELGIUM      , AMADOU ONANA              , Belgian      , Midfielder, CDM     ,  25,       72,      78,        76,   76,        84,       88,           5
BELGIUM      , KEVIN DE BRUYNE           , Belgian      , Midfielder, CAM     ,  35,       88,      95,        88,   74,        58,       72,           5
BELGIUM      , YOURI TIELEMANS           , Belgian      , Midfielder, CM      ,  29,       78,      86,        82,   68,        70,       74,           5
BELGIUM      , JEREMY DOKU               , Belgian      , Attacker  , LW      ,  24,       84,      78,        92,   98,        36,       60,           5
BELGIUM      , LEANDRO TROSSARD          , Belgian      , Attacker  , RW      ,  31,       84,      82,        86,   82,        42,       68,           5
BELGIUM      , ROMELU LUKAKU             , Belgian      , Attacker  , ST      ,  33,       88,      72,        78,   78,        38,       90,           5
URUGUAY      , SERGIO ROCHET             , Uruguayan    , Goalkeeper, GK      ,  33,       10,      56,        40,   38,        30,       74,          86
URUGUAY      , RONALD ARAUJO             , Uruguayan    , Defender  , CB      ,  27,       42,      72,        68,   82,        90,       88,           7
URUGUAY      , JOSE MARIA GIMENEZ        , Uruguayan    , Defender  , CB      ,  31,       38,      70,        62,   68,        90,       86,           7
URUGUAY      , MATHIAS OLIVERA           , Uruguayan    , Defender  , LB      ,  28,       60,      74,        72,   78,        82,       80,           7
URUGUAY      , GUILLERMO VARELA          , Uruguayan    , Defender  , RB      ,  33,       58,      72,        70,   74,        78,       76,           7
URUGUAY      , FEDERICO VALVERDE         , Uruguayan    , Midfielder, CM      ,  28,       86,      86,        84,   88,        80,       84,           5
URUGUAY      , MANUEL UGARTE             , Uruguayan    , Midfielder, CDM     ,  25,       68,      78,        74,   76,        88,       84,           5
URUGUAY      , NICOLAS DE LA CRUZ        , Uruguayan    , Midfielder, CAM     ,  29,       78,      84,        86,   82,        66,       70,           5
URUGUAY      , DARWIN NUNEZ              , Uruguayan    , Attacker  , ST      ,  27,       88,      70,        80,   94,        42,       84,           5
URUGUAY      , FACUNDO PELLISTRI         , Uruguayan    , Attacker  , RW      ,  25,       78,      76,        84,   90,        40,       64,           5
URUGUAY      , MAXIMILIANO ARAUJO        , Uruguayan    , Attacker  , LW      ,  26,       80,      78,        82,   88,        42,       70,           5
CROATIA      , DOMINIK LIVAKOVIC         , Croatian     , Goalkeeper, GK      ,  32,       10,      58,        42,   40,        28,       72,          88
CROATIA      , JOSKO GVARDIOL            , Croatian     , Defender  , CB      ,  25,       62,      78,        76,   82,        90,       86,           7
CROATIA      , JOSEP SUTALO              , Croatian     , Defender  , CB      ,  26,       40,      72,        68,   72,        86,       82,           7
CROATIA      , JOSIP JURANOVIC           , Croatian     , Defender  , RB      ,  31,       66,      76,        74,   82,        78,       74,           7
CROATIA      , BORNA SOSA                , Croatian     , Defender  , LB      ,  28,       68,      82,        78,   80,        74,       72,           7
CROATIA      , LUKA MODRIC               , Croatian     , Midfielder, CM      ,  41,       82,      94,        90,   70,        70,       68,           5
CROATIA      , MATEO KOVACIC             , Croatian     , Midfielder, CM      ,  32,       76,      88,        88,   78,        72,       72,           5
CROATIA      , MARCELO BROZOVIC          , Croatian     , Midfielder, CDM     ,  34,       72,      86,        80,   72,        82,       78,           5
CROATIA      , LOVRO MAJER               , Croatian     , Attacker  , RW      ,  28,       80,      84,        86,   78,        46,       66,           5
CROATIA      , ANDREJ KRAMARIC           , Croatian     , Attacker  , ST      ,  35,       84,      80,        84,   74,        42,       72,           5
CROATIA      , IVAN PERISIC              , Croatian     , Attacker  , LW      ,  38,       82,      80,        82,   78,        58,       74,           5
MOROCCO      , YASSINE BOUNOU            , Moroccan     , Goalkeeper, GK      ,  35,       10,      54,        38,   40,        30,       76,          90
MOROCCO      , ACHRAF HAKIMI             , Moroccan     , Defender  , RB      ,  28,       78,      82,        84,   96,        78,       74,           7
MOROCCO      , NAIF AGUERD               , Moroccan     , Defender  , CB      ,  30,       40,      72,        66,   72,        86,       82,           7
MOROCCO      , ROMAIN SAISS              , Moroccan     , Defender  , CB      ,  36,       38,      70,        64,   66,        86,       84,           7
MOROCCO      , NOUSSAIR MAZRAOUI         , Moroccan     , Defender  , LB      ,  29,       72,      82,        84,   84,        78,       72,           7
MOROCCO      , SOFYAN AMRABAT            , Moroccan     , Midfielder, CDM     ,  30,       68,      80,        76,   72,        84,       84,           5
MOROCCO      , AZZEDINE OUNAHI           , Moroccan     , Midfielder, CM      ,  26,       74,      82,        86,   80,        68,       68,           5
MOROCCO      , BRAHIM DIAZ               , Moroccan     , Midfielder, CAM     ,  27,       84,      84,        90,   84,        48,       64,           5
MOROCCO      , HAKIM ZIYECH              , Moroccan     , Attacker  , RW      ,  33,       84,      88,        86,   78,        40,       64,           5
MOROCCO      , YOUSSEF EN-NESYRI         , Moroccan     , Attacker  , ST      ,  29,       84,      68,        74,   80,        42,       84,           5
MOROCCO      , SOUFIANE RAHIMI           , Moroccan     , Attacker  , LW      ,  30,       82,      76,        84,   86,        38,       68,           5
SENEGAL      , EDOUARD MENDY             , Senegalese   , Goalkeeper, GK      ,  34,       10,      52,        38,   40,        28,       78,          88
SENEGAL      , KALIDOU KOULIBALY         , Senegalese   , Defender  , CB      ,  35,       42,      70,        64,   72,        90,       88,           7
SENEGAL      , ABDOU DIALLO              , Senegalese   , Defender  , CB      ,  30,       38,      68,        64,   70,        84,       82,           7
SENEGAL      , YOUSSOUF SABALY           , Senegalese   , Defender  , RB      ,  33,       62,      74,        74,   78,        78,       74,           7
SENEGAL      , ISMAIL JAKOBS             , Senegalese   , Defender  , LB      ,  27,       64,      72,        74,   88,        76,       72,           7
SENEGAL      , IDRISSA GUEYE             , Senegalese   , Midfielder, CDM     ,  36,       68,      78,        74,   72,        84,       78,           5
SENEGAL      , PAPE MATAR SARR           , Senegalese   , Midfielder, CM      ,  24,       74,      80,        78,   80,        74,       76,           5
SENEGAL      , LAMINE CAMARA             , Senegalese   , Midfielder, CAM     ,  22,       76,      82,        82,   80,        68,       70,           5
SENEGAL      , ISMAILA SARR              , Senegalese   , Attacker  , RW      ,  28,       82,      76,        84,   92,        40,       70,           5
SENEGAL      , NICOLAS JACKSON           , Senegalese   , Attacker  , ST      ,  25,       84,      72,        82,   88,        38,       78,           5
SENEGAL      , SADIO MANE                , Senegalese   , Attacker  , LW      ,  34,       86,      80,        86,   90,        42,       74,           5
NIGERIA      , STANLEY NWABALI           , Nigerian     , Goalkeeper, GK      ,  30,       10,      50,        38,   42,        28,       74,          84
NIGERIA      , OLA AINA                  , Nigerian     , Defender  , RB      ,  30,       66,      74,        76,   84,        78,       74,           7
NIGERIA      , WILLIAM TROOST-EKONG      , Nigerian     , Defender  , CB      ,  32,       38,      68,        62,   68,        84,       84,           7
NIGERIA      , SEMI AJAYI                , Nigerian     , Defender  , CB      ,  33,       36,      66,        60,   66,        82,       84,           7
NIGERIA      , Zaidu SANUSI              , Nigerian     , Defender  , LB      ,  29,       60,      70,        72,   90,        76,       74,           7
NIGERIA      , WILFRED NDIDI             , Nigerian     , Midfielder, CDM     ,  30,       68,      76,        72,   74,        88,       84,           5
NIGERIA      , ALEX IWOBI                , Nigerian     , Midfielder, CM      ,  30,       76,      82,        84,   80,        66,       70,           5
NIGERIA      , FRANK ONYEKA              , Nigerian     , Midfielder, CM      ,  29,       70,      76,        74,   78,        80,       82,           5
NIGERIA      , ADEMOLA LOOKMAN           , Nigerian     , Attacker  , LW      ,  29,       86,      80,        88,   90,        40,       72,           5
NIGERIA      , VICTOR OSIMHEN            , Nigerian     , Attacker  , ST      ,  28,       90,      68,        80,   92,        42,       86,           5
NIGERIA      , SAMUEL CHUKWUEZE          , Nigerian     , Attacker  , RW      ,  27,       82,      76,        88,   92,        36,       66,           5
IVORY COAST  , YAHIA FOFANA              , Ivorian      , Goalkeeper, GK      ,  26,       10,      52,        40,   42,        30,       74,          86
IVORY COAST  , WILFRIED SINGO            , Ivorian      , Defender  , CB      ,  25,       62,      74,        72,   82,        86,       86,           7
IVORY COAST  , ODILON KOSSOUNOU          , Ivorian      , Defender  , CB      ,  25,       40,      70,        66,   78,        88,       84,           7
IVORY COAST  , GHISLAIN KONAN            , Ivorian      , Defender  , LB      ,  31,       62,      74,        72,   80,        78,       74,           7
IVORY COAST  , SERGE AURIER              , Ivorian      , Defender  , RB      ,  33,       68,      76,        74,   80,        80,       78,           7
IVORY COAST  , FRANCK KESSIE             , Ivorian      , Midfielder, CM      ,  30,       80,      82,        80,   76,        82,       88,           5
IVORY COAST  , SEKO FOFANA               , Ivorian      , Midfielder, CM      ,  31,       82,      80,        82,   82,        76,       86,           5
IVORY COAST  , JEAN MICHAEL SERI         , Ivorian      , Midfielder, CDM     ,  35,       72,      82,        78,   70,        74,       72,           5
IVORY COAST  , SIMON ADINGRA             , Ivorian      , Attacker  , LW      ,  24,       82,      78,        88,   92,        40,       68,           5
IVORY COAST  , SEBASTIEN HALLER          , Ivorian      , Attacker  , ST      ,  32,       84,      74,        78,   72,        42,       86,           5
IVORY COAST  , NICOLAS PEPE              , Ivorian      , Attacker  , RW      ,  31,       82,      78,        86,   88,        38,       66,           5
ALGERIA      , ANTHONY MANDREA           , Algerian     , Goalkeeper, GK      ,  30,       10,      54,        38,   40,        28,       72,          84
ALGERIA      , AISSA MANDI               , Algerian     , Defender  , CB      ,  35,       42,      74,        68,   68,        84,       80,           7
ALGERIA      , RYAN AIT-NOURI            , Algerian     , Defender  , LB      ,  25,       72,      80,        84,   86,        76,       72,           7
ALGERIA      , MOHAMED AMINE TOUGAI      , Algerian     , Defender  , CB      ,  26,       38,      70,        64,   70,        84,       82,           7
ALGERIA      , YOUSEF ATAL               , Algerian     , Defender  , RB      ,  30,       70,      76,        82,   88,        72,       70,           7
ALGERIA      , ISMAEL BENNACER           , Algerian     , Midfielder, CM      ,  28,       74,      86,        84,   78,        74,       72,           5
ALGERIA      , HOUSSEM AOUAR             , Algerian     , Midfielder, CAM     ,  28,       80,      84,        86,   78,        60,       66,           5
ALGERIA      , NABIL BENTALEB            , Algerian     , Midfielder, CDM     ,  31,       72,      82,        78,   72,        78,       76,           5
ALGERIA      , RIYAD MAHREZ              , Algerian     , Attacker  , RW      ,  35,       86,      88,        90,   82,        40,       64,           5
ALGERIA      , AMINE GOUIRI              , Algerian     , Attacker  , ST      ,  26,       84,      78,        84,   82,        40,       72,           5
ALGERIA      , SAID BENRAHMA             , Algerian     , Attacker  , LW      ,  31,       82,      80,        86,   84,        38,       64,           5
EGYPT        , MOHAMED EL SHENAWY        , Egyptian     , Goalkeeper, GK      ,  38,       10,      52,        38,   38,        28,       74,          86
EGYPT        , MOHAMED HANY              , Egyptian     , Defender  , RB      ,  30,       64,      74,        74,   78,        76,       74,           7
EGYPT        , AHMED HEGAZI              , Egyptian     , Defender  , CB      ,  35,       36,      68,        60,   62,        86,       84,           7
EGYPT        , MOHAMED ABDELMONEM        , Egyptian     , Defender  , CB      ,  27,       38,      70,        64,   70,        84,       82,           7
EGYPT        , AHMED FOTOUH              , Egyptian     , Defender  , LB      ,  28,       66,      76,        76,   80,        74,       72,           7
EGYPT        , MOHAMED ELNENY            , Egyptian     , Midfielder, CDM     ,  33,       68,      80,        74,   68,        80,       76,           5
EGYPT        , HAMDY FATHY               , Egyptian     , Midfielder, CM      ,  31,       70,      78,        74,   72,        80,       80,           5
EGYPT        , EMAM ASHOUR               , Egyptian     , Midfielder, CAM     ,  28,       78,      82,        82,   80,        68,       72,           5
EGYPT        , MOHAMED SALAH             , Egyptian     , Attacker  , RW      ,  34,       92,      84,        90,   90,        42,       70,           5
EGYPT        , MOSTAFA MOHAMED           , Egyptian     , Attacker  , ST      ,  29,       82,      70,        76,   74,        42,       82,           5
EGYPT        , OMAR MARMOUSH             , Egyptian     , Attacker  , LW      ,  27,       86,      80,        86,   90,        40,       72,           5
CAMEROON     , ANDRE ONANA               , Cameroonian  , Goalkeeper, GK      ,  31,       12,      68,        52,   50,        30,       76,          88
CAMEROON     , NOUHOU TOLO               , Cameroonian  , Defender  , LB      ,  29,       60,      70,        72,   84,        82,       82,           7
CAMEROON     , CHRISTOPHER WOOH          , Cameroonian  , Defender  , CB      ,  25,       38,      68,        62,   72,        86,       84,           7
CAMEROON     , JEAN-CHARLES CASTELLETTO  , Cameroonian  , Defender  , CB      ,  31,       38,      70,        64,   70,        84,       82,           7
CAMEROON     , COLLINS FAI               , Cameroonian  , Defender  , RB      ,  33,       64,      72,        72,   80,        74,       72,           7
CAMEROON     , ANDRE-FRANK ZAMBO ANGUISSA, Cameroonian  , Midfielder, CM      ,  31,       78,      82,        80,   76,        82,       86,           5
CAMEROON     , MARTIN HONGA              , Cameroonian  , Midfielder, CDM     ,  27,       70,      76,        74,   72,        82,       82,           5
CAMEROON     , CARLOS BALEBA             , Cameroonian  , Midfielder, CM      ,  22,       74,      78,        78,   82,        80,       84,           5
CAMEROON     , BRYAN MBEUMO              , Cameroonian  , Attacker  , RW      ,  27,       84,      78,        84,   88,        42,       72,           5
CAMEROON     , VINCENT ABOUBAKAR         , Cameroonian  , Attacker  , ST      ,  34,       84,      70,        76,   74,        40,       84,           5
CAMEROON     , KARL TOKO EKAMBI          , Cameroonian  , Attacker  , LW      ,  33,       80,      74,        80,   84,        38,       72,           5
TUNISIA      , BECHIR BEN SAID           , Tunisian     , Goalkeeper, GK      ,  34,       10,      50,        36,   38,        28,       72,          84
TUNISIA      , WAJDI KECHRIDA            , Tunisian     , Defender  , RB      ,  31,       62,      72,        72,   80,        76,       74,           7
TUNISIA      , MONTASSAR TALBI           , Tunisian     , Defender  , CB      ,  28,       38,      68,        62,   68,        86,       84,           7
TUNISIA      , YASSINE MERIAH            , Tunisian     , Defender  , CB      ,  33,       36,      68,        60,   64,        84,       82,           7
TUNISIA      , ALI MAALOUL               , Tunisian     , Defender  , LB      ,  35,       70,      80,        78,   74,        74,       70,           7
TUNISIA      , ELLYES SKHIRI             , Tunisian     , Midfielder, CDM     ,  31,       72,      80,        76,   70,        82,       80,           5
TUNISIA      , AISSA LAIDOUNI            , Tunisian     , Midfielder, CM      ,  29,       74,      78,        76,   76,        82,       84,           5
TUNISIA      , ANIS BEN SLIMANE          , Tunisian     , Midfielder, CAM     ,  25,       76,      80,        80,   76,        68,       72,           5
TUNISIA      , YOUSSEF MSAKNI            , Tunisian     , Attacker  , LW      ,  36,       82,      80,        84,   78,        38,       66,           5
TUNISIA      , SEIFEDDINE JAZIRI         , Tunisian     , Attacker  , ST      ,  32,       78,      70,        74,   76,        40,       78,           5
TUNISIA      , ELYES JEBALI              , Tunisian     , Attacker  , RW      ,  34,       80,      76,        80,   78,        38,       70,           5
UNITED STATES, MATT TURNER               , American     , Goalkeeper, GK      ,  32,       10,      58,        42,   44,        30,       74,          84
UNITED STATES, SERGINO DEST              , American     , Defender  , RB      ,  26,       70,      78,        82,   88,        72,       68,           7
UNITED STATES, CHRIS RICHARDS            , American     , Defender  , CB      ,  26,       40,      72,        68,   74,        84,       82,           7
